assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,9,0,0,0,111457,None,,0,0,-2,2,5.4,429,163,None,,0,2,0.0,0.0,0,Sead,0.0,1,0,1.3,477,178,14,False,3.6,478,178,90,Joined Schalke on loan until the end of the season on 4/1. - Expected back 01 Jul,2021-01-03T19:00:21.713564Z,48,0,0,None,0,,111457.jpg,2.0,0,0,Kolasinac,0.1,False,None,u,1,3,4.0,426,161,2,5329,0,21570,8,0.0,0.4,Kolasinac,0
1,9,497,100,100,10,156074,None,,0,0,-2,2,73.2,300,88,None,,1,2,0.0,6.2,9,Rob,2.6,25,0,73.6,203,57,16,False,564.6,73,25,2377,,2020-10-17T22:30:19.025474Z,43,1,0,None,0,,156074.jpg,3.4,0,0,Holding,4.5,False,None,a,1,3,97.0,276,89,96,1042347,4911,809719,24252,0.6,22.3,Holding,2
3,4,447,100,100,7,192895,None,,0,0,-3,3,469.2,56,11,None,,1,2,0.0,3.8,7,Kieran,1.4,26,1,108.3,108,20,17,False,421.6,160,63,2132,,2021-04-03T22:00:20.300277Z,52,0,0,None,0,,192895.jpg,3.4,0,0,Tierney,3.7,False,None,a,1,3,191.0,186,41,85,968404,3282,1485868,2970,0.3,16.3,Tierney,4
3,5,254,100,100,3,195735,5,,0,0,-4,4,221.1,175,110,None,,0,3,0.0,6.6,9,Nicolas,2.8,20,6,123.3,85,49,18,False,330.8,201,81,1426,,2020-11-22T18:30:18.803078Z,76,0,0,3,0,,195735.jpg,3.1,1,0,Pépé,1.1,False,None,a,1,3,683.0,44,23,83,167647,2072,255382,5914,0.4,10.9,Pépé,1
0,0,0,0,0,0,198849,None,,0,0,-3,3,0.0,659,272,None,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,670,272,19,False,0.0,667,272,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,None,u,1,3,0.0,650,269,0,3459,0,17703,9,0.0,0.0,Torreira,0
0,0,2,100,100,0,200641,None,,0,0,-4,4,9.7,417,193,None,,0,3,0.0,1.0,0,Reiss,0.0,0,0,2.4,459,197,21,False,4.2,475,201,70,,2020-12-31T11:00:17.325196Z,51,0,0,None,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,None,a,1,3,10.0,405,187,2,2433,11,6973,18,0.0,0.4,Nelson,0
1,5,120,None,None,1,205533,None,,0,0,-7,7,97.3,261,41,None,,0,4,0.0,4.2,0,Edward,1.6,6,2,42.1,304,45,22,False,116.6,348,43,411,,None,53,0,0,None,0,,205533.jpg,2.1,0,0,Nketiah,0.5,False,None,a,1,3,211.0,171,46,36,67778,216,166340,1529,0.3,6.8,Nketiah,0
5,3,281,100,100,8,209289,None,,0,0,-3,3,327.2,106,72,None,,1,3,0.0,10.2,19,Emile,4.6,9,2,78.6,189,100,23,False,249.6,254,108,1275,,2021-04-11T21:00:27.947860Z,42,0,0,None,0,,209289.jpg,3.8,0,0,Smith Rowe,2.4,False,None,a,1,3,208.0,174,94,69,647701,21146,471793,8865,1.1,16.4,Smith Rowe,0
5,8,412,100,100,8,223340,3,,0,0,-4,4,631.6,30,24,6,,2,3,0.0,5.8,8,Bukayo,2.4,30,5,209.5,21,13,24,False,486.6,113,42,2474,,2021-04-11T21:00:27.965611Z,51,1,0,None,0,,223340.jpg,3.7,0,0,Saka,7.3,False,None,a,1,3,976.0,16,6,111,1879269,6517,1861658,45759,0.5,21.8,Saka,1
0,0,0,0,0,0,242166,None,,0,0,-3,3,0.0,661,274,None,,0,3,0.0,0.0,0,Matteo,0.0,0,0,0.0,672,274,25,False,0.0,669,274,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.1,False,None,u,1,3,0.0,652,271,0,2725,0,13202,4,0.0,0.0,Guendouzi,0
