first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Riyad,Mahrez,1,1,22,430,7,140.1,87.0,202.0,2,74,42.9,2,0,0,2.3,82
Raheem,Sterling,2,1,33,621,9,121.7,128.8,283.0,5,84,53.4,2,0,1,5.1,115
João Pedro Cavaco,Cancelo,0,1,24,360,2,147.2,107.6,30.0,6,95,28.5,2,0,1,2.5,54
Ederson,Santana de Moraes,0,0,24,630,9,0.0,129.6,0.0,1,115,13.0,2,0,0,5.7,60
Nathan,Aké,1,0,13,289,6,24.7,64.4,19.0,0,57,10.8,1,0,2,4.9,55
Aymeric,Laporte,0,0,11,270,2,13.3,41.4,10.0,2,47,6.5,1,0,1,2.8,60
Bernardo Mota,Veiga de Carvalho e Silva,0,0,10,301,1,36.4,38.8,33.0,0,43,10.9,2,0,0,0.6,74
Gabriel Fernando,de Jesus,2,0,15,180,2,27.5,79.2,68.0,4,52,17.5,0,0,1,1.1,93
Oleksandr,Zinchenko,0,0,1,12,0,1.2,0.4,0.0,0,3,0.2,0,0,0,0.2,55
Phil,Foden,2,1,26,385,5,63.6,104.0,159.0,2,85,32.6,1,0,0,6.5,65
Tommy,Doyle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Rodrigo,Hernandez,0,0,14,630,9,89.2,89.2,28.0,0,91,20.6,2,0,2,0.5,54
Ferran,Torres,0,1,12,239,4,28.2,24.0,128.0,0,15,17.9,1,0,0,1.1,69
Eric,Garcia,0,0,2,180,6,22.6,37.0,1.0,0,33,6.0,0,0,0,0.2,48
Adrián,Bernabé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Zack,Steffen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Liam,Delap,0,0,1,39,4,0.3,0.0,4.0,0,0,0.2,0,0,0,0.9,44
Cole,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Rúben Santos,Gato Alves Dias,0,0,17,450,3,6.4,89.2,10.0,0,95,10.6,2,0,1,1.9,55
James,Trafford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
