element,position,multiplier,is_captain,is_vice_captain
12,1,1,False,False
46,2,1,False,False
300,3,1,False,False
155,4,1,False,False
277,5,1,False,False
570,6,1,False,False
370,7,1,False,False
390,8,1,False,False
202,9,1,False,False
388,10,2,True,False
514,11,1,False,False
96,12,0,False,False
272,13,0,False,True
273,14,0,False,False
449,15,0,False,False
