element,position,multiplier,is_captain,is_vice_captain
12,1,1,False,False
300,2,1,False,False
273,3,1,False,False
277,4,1,False,False
255,5,1,False,False
570,6,2,True,False
302,7,1,False,True
449,8,1,False,False
231,9,1,False,False
202,10,1,False,False
514,11,1,False,False
96,12,0,False,False
569,13,0,False,False
37,14,0,False,False
146,15,0,False,False
