name,points,value,pos,team_code,type
AaronWanBissaka,13.869786028292609,5.7,2,1,player
AlexandreLacazette,7.100681387304324,8.4,4,3,player
CarneyChukwuemeka,0.0,0.0,0,7,player
CedricKipre,0.0,0.0,0,35,player
KelechiIheanacho,15.122353677663012,6.2,4,13,player
LukeShaw,17.52302661759158,5.4,2,1,player
MasonGreenwood,13.637123910878994,7.1,3,1,player
MasonMount,9.15240856237326,7.3,3,8,player
MohamedSalah,7.795469836467094,12.6,3,14,player
SeamusColeman,7.443986003494361,4.9,2,11,player
VicenteGuaita,7.313168767028394,4.8,1,31,player
AlissonRamsesBecker,6.647596129764684,5.9,1,14,sub
AndreasChristensen,9.714445649699105,4.7,2,8,sub
KaiHavertz,8.824869873250579,8.2,3,8,sub
OllieWatkins,10.490731387779402,6.6,4,7,sub
StuartArmstrong,7.778718472606943,5.5,3,20,sub
TrentAlexanderArnold,9.921382985436692,7.5,2,14,sub
