name,points,value,pos,team_code,type,actual_points
AdemolaLookman,4.521328585096152,5.0,3.0,54,player,0
BenjaminChilwell,4.67711068767012,6.1,2.0,8,player,5
BrunoMiguelBorgesFernandes,7.929632177551537,11.0,3.0,1,player,6
DominicCalvertLewin,18.662504552612614,7.9,4.0,11,player,0
EmilianoMartínez,5.515431123836639,4.9,1.0,7,player,3
HarryKane,20.428019959962327,11.0,4.0,6,player,0
JackGrealish,8.507002974096475,7.8,3.0,7,player,2
JamieVardy,19.39476307033982,10.2,4.0,13,player,1
KurtZouma,4.518700508843423,5.8,2.0,8,player,0
PedroLombaNeto,4.57339156861264,5.9,3.0,39,player,3
TyroneMings,5.20520875279926,5.3,2.0,7,player,0
IllanMeslier,4.341367045149913,4.6,1.0,2,sub,6
JackHarrison,4.211169146508632,5.4,3.0,2,sub,8
LukeAyling,3.8606315029748033,4.5,2.0,2,sub,6
VladimirCoufal,3.841444784117909,4.6,2.0,21,sub,0
