name,points,value,pos,team_code,type,actual_points
AndrosTownsend,8.865088504135025,6.0,3.0,31,player,9
DominicCalvertLewin,11.770668128274195,7.2,4.0,11,player,17
EmilianoMartínez,8.993590403595732,4.5,1.0,7,player,13
EzriKonsaNgoyo,12.269630987040124,4.5,2.0,7,player,15
HarveyBarnes,9.129293576064764,7.0,3.0,13,player,13
KevinDeBruyne,13.591230916816798,11.6,3.0,43,player,13
LucasDigne,7.730309161941383,6.1,2.0,11,player,1
MohamedSalah,11.350685068364207,12.1,3.0,14,player,3
NealMaupay,7.731518339933635,6.5,4.0,36,player,16
TimothyCastagne,8.66045587229916,5.5,2.0,13,player,9
WilfriedZaha,8.418191593847352,7.1,3.0,31,player,15
AleksandarMitrović,6.203917478435264,6.0,4.0,54,sub,12
GabrielMagalhães,7.159504713135378,5.1,2.0,3,sub,2
RomainSaïss,7.115503240049452,5.1,2.0,39,sub,1
VicenteGuaita,6.995949249293313,5.0,1.0,31,sub,3
