name,points,value,pos,team_code,type,actual_points
DominicCalvertLewin,6.775838745341168,7.4,4.0,11,player,6
HarryKane,6.465109992189202,10.5,4.0,6,player,5
HarveyBarnes,5.743872779974987,7.0,3.0,13,player,2
JackGrealish,6.674375683536125,7.0,3.0,7,player,8
JamesJustin,3.5115573886336566,4.7,2.0,13,player,1
JohnMcGinn,5.985276845699088,5.5,3.0,7,player,10
KarlDarlow,4.592491733381788,5.0,1.0,4,player,8
MohamedSalah,9.392359077076263,12.1,3.0,14,player,5
ReeceJames,4.521525598102231,5.1,2.0,8,player,1
SadioMané,7.704837808356513,11.9,3.0,14,player,7
TyroneMings,5.244263399404791,5.0,2.0,7,player,12
ArthurMasuaku,2.8764024558731567,4.5,2.0,21,sub,12
IllanMeslier,2.9941333401505634,4.5,1.0,2,sub,10
JimmyDunne,2.8789248303955053,4.0,2.0,90,sub,2
PatrickBamford,3.97097391067428,5.8,4.0,2,sub,8
