name,points,value,pos,team_code,type,actual_points
AaronCresswell,3.72335418550408,5.0,2.0,21,player,2
BrunoMiguelBorgesFernandes,6.43491327921408,10.5,3.0,1,player,3
EmilianoMartínez,4.469831997453643,4.8,1.0,7,player,3
HarryKane,7.263243367178643,10.9,4.0,6,player,5
HeungMinSon,7.428458654298335,9.5,3.0,6,player,11
JackGrealish,6.925251840233824,7.3,3.0,7,player,1
LukeAyling,3.2287130060332987,4.5,2.0,2,player,6
MohamedSalah,8.226648679428568,12.4,3.0,14,player,2
OllieWatkins,5.298968556427911,6.0,4.0,7,player,2
PatrickBamford,5.132719384118059,5.9,4.0,2,player,17
RomainSaïss,3.7008885643382814,5.3,2.0,39,player,7
AlexMcCarthy,2.988114851088686,4.5,1.0,20,sub,6
FabiánBalbuena,1.9741924757737428,4.4,2.0,21,sub,1
OriolRomeuVidal,3.024941334085584,4.5,3.0,20,sub,3
StuartDallas,2.9918161588120644,4.5,2.0,2,sub,6
