name,total_points,pos,minutes,now_cost,was_home,ict_index,xG,xA,clean_sheets,strength,saves,opponent_team,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
JackHarrison,1,3,26,54,True,1.3,0.15643353129012716,0.18847837340500617,0,3,0,2,1150,1150,1180,1210
JackJenkins,0,3,0,45,True,0.0,0.0,0.0,0,3,0,2,1150,1150,1180,1210
JackOConnell,0,2,0,47,True,0.0,0.0,0.0,0,2,0,11,1150,1170,1210,1250
JackOConnell,0,2,0,47,True,0.0,0.0,0.0,0,2,0,2,1150,1150,1180,1210
JackRobinson,0,2,0,42,True,0.0,0.07436516229063272,0.0,0,2,0,11,1150,1170,1210,1250
JackRobinson,0,2,0,42,True,0.0,0.07436516229063272,0.0,0,2,0,2,1150,1150,1180,1210
JackStephens,0,2,0,46,False,0.0,0.056315578520298004,0.03116261729827294,0,3,0,7,1150,1150,1180,1210
JackWilshere,0,3,0,49,False,0.0,0.0,0.0,0,4,0,12,1260,1320,1330,1350
JacobMurphy,1,3,27,49,True,2.9,0.04514840291813016,0.10112212714739145,0,4,0,20,1140,1200,1110,1160
JacobRamsey,3,3,78,45,False,2.3,0.018048361803476624,0.009820043467558347,1,3,0,10,1060,1110,1130,1160
JacobRamsey,2,3,67,45,False,0.8,0.018048361803476624,0.009820043467558347,0,3,0,15,1110,1130,1010,1050
JairoRiedewald,3,3,90,44,True,1.5,0.020099427103996276,0.03315969049930573,1,3,0,8,1240,1280,1270,1310
JairoRiedewald,0,3,28,44,True,0.2,0.020099427103996276,0.03315969049930573,0,3,0,13,1190,1190,1200,1180
JakeCain,0,3,0,45,False,0.0,0.0,0.0,0,4,0,15,1110,1130,1010,1050
JakeCain,0,3,0,45,True,0.0,0.0,0.0,0,4,0,5,1240,1280,1270,1310
JakeLivermore,0,3,0,47,True,0.0,0.017596069956198335,0.010982702835462987,0,2,0,3,1170,1210,1190,1200
JakeLivermore,0,3,0,47,True,0.0,0.017596069956198335,0.010982702835462987,0,2,0,7,1150,1150,1180,1210
JakeVokins,0,2,0,39,False,0.0,0.0,0.03704096004366875,0,3,0,7,1150,1150,1180,1210
JakubModer,1,3,6,50,False,1.0,0.00885329581797123,0.0,0,4,0,18,1110,1130,1010,1050
JakubOjrzynski,0,1,0,40,False,0.0,0.0,0.0,0,4,0,15,1110,1130,1010,1050
JakubOjrzynski,0,1,0,40,True,0.0,0.0,0.0,0,4,0,5,1240,1280,1270,1310
JamaalLascelles,10,2,90,42,True,7.4,0.040550183176117784,0.003934281056418139,0,4,0,20,1140,1200,1110,1160
JamalBaptiste,0,2,0,40,False,0.0,0.0,0.0,0,4,0,12,1260,1320,1330,1350
JamalLewis,2,2,90,42,True,3.9,0.005198983718519626,0.04303406624366408,0,4,0,20,1140,1200,1110,1160
JamesBree,0,2,0,45,False,0.0,0.0,0.0,0,3,0,10,1060,1110,1130,1160
JamesBree,0,2,0,45,False,0.0,0.0,0.0,0,3,0,15,1110,1130,1010,1050
JamesGarner,0,3,0,44,False,0.0,0.0,0.0,0,4,0,5,1240,1280,1270,1310
JamesGarner,0,3,0,44,False,0.0,0.0,0.0,0,4,0,6,1100,1150,1020,1050
JamesJustin,0,2,0,49,True,0.0,0.06597752561387808,0.0895276639772498,0,4,0,1,1170,1210,1190,1200
JamesJustin,0,2,0,49,False,0.0,0.06597752561387808,0.0895276639772498,0,4,0,4,1170,1210,1190,1200
JamesMaddison,0,3,0,71,True,0.0,0.12834798099230166,0.17218378121438233,0,4,0,1,1170,1210,1190,1200
JamesMaddison,0,3,0,71,False,0.0,0.12834798099230166,0.17218378121438233,0,4,0,4,1170,1210,1190,1200
JamesMcArthur,0,3,0,52,True,0.0,0.0156807952767445,0.08446504072182709,0,3,0,8,1240,1280,1270,1310
JamesMcArthur,0,3,0,52,True,0.0,0.0156807952767445,0.08446504072182709,0,3,0,13,1190,1190,1200,1180
JamesMcCarthy,1,3,11,43,True,0.1,0.001116152344779535,0.008663123134862293,0,3,0,8,1240,1280,1270,1310
JamesMcCarthy,3,3,61,43,True,2.8,0.001116152344779535,0.008663123134862293,1,3,0,13,1190,1190,1200,1180
JamesMilner,1,3,14,53,False,1.1,0.007801113929599523,0.032155182864516976,0,4,0,15,1110,1130,1010,1050
JamesMilner,0,3,0,53,True,0.0,0.007801113929599523,0.032155182864516976,0,4,0,5,1240,1280,1270,1310
JamesRodríguez,0,3,0,77,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JamesRodríguez,0,3,0,77,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JamesTarkowski,0,2,90,53,False,3.6,0.07564388170700381,0.014161532675778426,0,4,0,17,1190,1240,1280,1320
JamesTarkowski,2,2,90,53,True,5.9,0.07564388170700381,0.014161532675778426,0,4,0,9,1190,1190,1200,1180
JamesTomkins,0,2,0,44,True,0.0,0.01226387843489647,0.0,0,3,0,8,1240,1280,1270,1310
JamesTomkins,0,2,0,44,True,0.0,0.01226387843489647,0.0,0,3,0,13,1190,1190,1200,1180
JamesTrafford,0,1,0,40,True,0.0,0.0,0.0,0,5,0,19,1150,1160,1170,1180
JamesTrafford,0,1,0,40,True,0.0,0.0,0.0,0,5,0,20,1140,1200,1110,1160
JamesWardProwse,2,3,90,59,False,3.2,0.11888685575204677,0.09457779084814005,0,3,0,7,1150,1150,1180,1210
JamieShackleton,0,3,0,48,True,0.0,0.0,0.010073140418777863,0,3,0,2,1150,1150,1180,1210
JamieVardy,2,4,90,102,True,2.1,0.640174465328455,0.16693608559668063,0,4,0,1,1170,1210,1190,1200
JamieVardy,2,4,90,102,False,2.8,0.640174465328455,0.16693608559668063,0,4,0,4,1170,1210,1190,1200
JannikVestergaard,2,2,90,47,False,4.5,0.08736469578884896,0.03115540308256944,0,3,0,7,1150,1150,1180,1210
JanBednarek,2,2,90,48,False,3.3,0.015437598243869583,0.03820161849003414,0,3,0,7,1150,1150,1180,1210
JaphetTanganga,0,2,0,49,True,0.0,0.0,0.0,0,4,0,4,1170,1210,1190,1200
JaphetTanganga,0,2,0,49,False,0.0,0.0,0.0,0,4,0,8,1240,1280,1270,1310
JarradBranthwaite,0,2,0,39,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JarradBranthwaite,0,2,0,39,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
JarrodBowen,1,3,6,59,False,0.1,0.19074304927406566,0.12152387015521528,0,4,0,12,1260,1320,1330,1350
JasonSteele,0,1,0,39,False,0.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
JavierManquillo,0,2,0,42,True,0.0,0.0021056234836578373,0.02706334130330519,0,4,0,20,1140,1200,1110,1160
JayRoyGrot,0,3,0,47,True,0.0,0.0,0.0,0,3,0,2,1150,1150,1180,1210
JaydenBogle,0,2,0,43,True,0.0,0.14601729877970437,0.018959440121596508,0,2,0,11,1150,1170,1210,1250
JaydenBogle,0,2,0,43,True,0.0,0.14601729877970437,0.018959440121596508,0,2,0,2,1150,1150,1180,1210
JaysonMolumby,0,3,0,45,False,0.0,0.0,0.0,0,4,0,18,1110,1130,1010,1050
JayRodriguez,2,4,87,58,False,6.7,0.07949711362986517,0.050454968586564064,0,4,0,17,1190,1240,1280,1320
JayRodriguez,1,4,1,58,True,0.0,0.07949711362986517,0.050454968586564064,0,4,0,9,1190,1190,1200,1180
JeanMichaëlSeri,0,3,0,46,False,0.0,0.0,0.0,0,4,0,6,1100,1150,1020,1050
JeanMichaëlSeri,0,3,0,46,True,0.0,0.0,0.0,0,4,0,17,1190,1240,1280,1320
JeanPhilippeGbamin,0,3,0,50,True,0.0,0.0,0.0,0,3,0,16,1140,1200,1110,1160
JeanPhilippeGbamin,0,3,0,50,False,0.0,0.0,0.0,0,3,0,18,1110,1130,1010,1050
