name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
BrunoMiguelBorgesFernandes,7.808242100354072,11.4,3.0,1,player,17,22,74
DominicCalvertLewin,16.072673250608993,7.6,4.0,11,player,9,22,74
EmilianoMartínez,5.531963099750524,5.2,1.0,7,player,4,22,74
HarryKane,17.819930209554734,11.0,4.0,6,player,0,22,74
JackGrealish,7.474540299465451,7.8,3.0,7,player,6,22,74
JoãoPedroCavacoCancelo,5.093304563797644,6.0,2.0,43,player,6,22,74
MohamedSalah,7.167172486702155,12.7,3.0,14,player,2,22,74
OllieWatkins,16.915754888028474,6.3,4.0,7,player,6,22,74
RaphaelDiasBelloli,4.655141044598065,5.3,3.0,2,player,9,22,74
RúbenSantosGatoAlvesDias,5.1853969953198185,6.1,2.0,43,player,6,22,74
StuartDallas,3.981116522679984,4.8,2.0,2,player,1,22,74
AdamWebster,3.1826490135223904,4.4,2.0,36,sub,6,22,74
AdemolaLookman,4.410703192279816,5.0,3.0,54,sub,2,22,74
AlexMcCarthy,3.9987007671452126,4.6,1.0,20,sub,0,22,74
LukeAyling,3.819381215363032,4.4,2.0,2,sub,0,22,74
