name,points,value,pos,team_code,type,actual_points
AdemolaLookman,4.500897669152142,5.0,3.0,54,player,4
BrunoMiguelBorgesFernandes,8.102047796056036,11.3,3.0,1,player,2
EmilianoMartínez,5.399854912118702,5.1,1.0,7,player,0
HarryKane,19.92110794923312,11.1,4.0,6,player,8
JackGrealish,7.9825676046943554,7.7,3.0,7,player,0
JoãoPedroCavacoCancelo,4.774796501799983,5.8,2.0,43,player,6
KyleWalkerPeters,4.157469613112685,4.8,2.0,20,player,0
MohamedSalah,7.435074103893077,12.5,3.0,14,player,0
OllieWatkins,16.516301108762402,6.1,4.0,7,player,0
PatrickBamford,16.093153842109587,6.6,4.0,2,player,0
StuartDallas,4.364772298818041,4.8,2.0,2,player,0
AlexMcCarthy,4.460293434115381,4.7,1.0,20,sub,0
BukayoSaka,4.246263234824924,5.3,3.0,3,sub,3
LukeAyling,4.063917194409411,4.5,2.0,2,sub,0
VladimirCoufal,3.6698888636985694,4.7,2.0,21,sub,0
