name,points,value,pos,team_code,type,actual_points
AaronCresswell,4.4431480700717225,4.9,2.0,21,player,15
AndrewRobertson,4.319687390996588,7.0,2.0,14,player,-1
DominicCalvertLewin,6.16397461057278,7.6,4.0,11,player,6
HarryKane,7.066626716649593,10.6,4.0,6,player,16
HeungMinSon,6.802021027955173,9.0,3.0,6,player,18
JackGrealish,7.4950019902817875,7.0,3.0,7,player,24
JamesRodríguez,5.590486588432021,7.8,3.0,11,player,18
KarlDarlow,3.916114474474053,5.0,1.0,4,player,2
MohamedSalah,9.115404494855477,12.2,3.0,14,player,13
OllieWatkins,5.673602241444132,5.9,4.0,7,player,19
TyroneMings,3.930162372335787,5.0,2.0,7,player,1
AlexMcCarthy,2.9892037245139718,4.5,1.0,20,sub,9
ArthurMasuaku,3.0735071537201857,4.5,2.0,21,sub,6
KyleWalkerPeters,3.024520467975175,4.5,2.0,20,sub,5
OriolRomeuVidal,3.0642047246781563,4.5,3.0,20,sub,11
