name,points,value,pos,team_code,type,actual_points,total_points_gw,gameweek
BrunoMiguelBorgesFernandes,7.7821567930423345,11.5,3.0,1,player,7,102,23
DominicCalvertLewin,16.146433931605454,7.7,4.0,11,player,12,102,23
EmilianoMartínez,5.628319634942371,5.2,1.0,7,player,9,102,23
HarryKane,18.17838139100515,11.0,4.0,6,player,8,102,23
JackGrealish,7.3737172656505585,7.8,3.0,7,player,2,102,23
JoãoPedroCavacoCancelo,4.914925653578525,6.0,2.0,43,player,2,102,23
MasonMount,5.150620070909756,6.8,3.0,8,player,8,102,23
MohamedSalah,7.091267609476093,12.7,3.0,14,player,7,102,23
OllieWatkins,16.954136944716275,6.4,4.0,7,player,9,102,23
RúbenSantosGatoAlvesDias,4.9744487600581815,6.1,2.0,43,player,1,102,23
StuartDallas,4.206562792204085,4.8,2.0,2,player,12,102,23
AdemolaLookman,4.436197102051223,5.0,3.0,54,sub,3,102,23
IllanMeslier,4.379258157934596,4.7,1.0,2,sub,10,102,23
LukeAyling,4.022068567406121,4.4,2.0,2,sub,6,102,23
TosinAdarabioyo,3.1547785371624397,4.5,2.0,54,sub,6,102,23
