name,points,value,pos,team_code,type
AdemolaLookman,4.392111733115833,5.0,3.0,54,player
BenjaminChilwell,5.063113598725566,6.2,2.0,8,player
BrunoMiguelBorgesFernandes,8.11352754901988,11.0,3.0,1,player
DominicCalvertLewin,19.85946299975955,7.9,4.0,11,player
EmilianoMartínez,5.260392449547449,4.8,1.0,7,player
HarryKane,22.451565852278687,10.9,4.0,6,player
JackGrealish,8.294634817761912,7.8,3.0,7,player
JamieVardy,18.657152310235524,10.3,4.0,13,player
JarrodBowen,4.8736597024226205,6.4,3.0,21,player
KurtZouma,4.602453637677577,5.7,2.0,8,player
TyroneMings,4.854040834515802,5.3,2.0,7,player
AlexMcCarthy,4.629336357860175,4.6,1.0,20,sub
LukeAyling,4.018633668257246,4.5,2.0,2,sub
StuartDallas,3.906926685626509,4.6,2.0,2,sub
TomasSoucek,3.830165384042578,5.0,3.0,21,sub
