name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
BrunoMiguelBorgesFernandes,7.7967892927818685,11.3,3.0,1,player,3,19,50
DominicCalvertLewin,16.136050980842022,7.6,4.0,11,player,0,19,50
EmilianoMartínez,5.5372017782844045,5.1,1.0,7,player,3,19,50
HarryKane,20.268100596165198,11.2,4.0,6,player,9,19,50
JackGrealish,7.603080761975289,7.7,3.0,7,player,2,19,50
JoãoPedroCavacoCancelo,4.755915277014012,5.8,2.0,43,player,1,19,50
MasonMount,5.261662663147302,6.8,3.0,8,player,11,19,50
MohamedSalah,7.219446289697876,12.5,3.0,14,player,3,19,50
OllieWatkins,16.114225655104185,6.1,4.0,7,player,2,19,50
RúbenSantosGatoAlvesDias,4.957507882853415,5.9,2.0,43,player,11,19,50
StuartDallas,4.162748655951752,4.8,2.0,2,player,2,19,50
AdemolaLookman,4.535999980785512,5.0,3.0,54,sub,1,19,50
IllanMeslier,4.508271322766447,4.7,1.0,2,sub,0,19,50
KyleWalkerPeters,4.015975208735176,4.8,2.0,20,sub,1,19,50
LukeAyling,3.988969770691989,4.5,2.0,2,sub,1,19,50
