name,points,value,pos,team_code,type
BenjaminChilwell,8.272092986575249,6.2,2.0,8,player
BrunoMiguelBorgesFernandes,12.99281045800555,10.9,3.0,1,player
DominicCalvertLewin,10.380895900116952,7.9,4.0,11,player
HarryKane,14.250171962785576,10.9,4.0,6,player
HeungMinSon,12.834560435396492,9.5,3.0,6,player
IllanMeslier,5.4580816781585035,4.5,1.0,2,player
LukeAyling,6.173922389649624,4.5,2.0,2,player
MohamedSalah,13.57997799562643,12.2,3.0,14,player
PatrickBamford,10.316270016210156,6.1,4.0,2,player
PedroLombaNeto,7.927235412127803,5.6,3.0,39,player
ReeceJames,7.274919333693668,5.1,2.0,8,player
BaileyPeacockFarrell,0.35989078129769114,4.0,1.0,90,sub
JimmyDunne,1.2204708625900005,4.0,2.0,90,sub
OriolRomeuVidal,4.860761737420966,4.5,3.0,20,sub
TyrickMitchell,1.530273237382877,4.1,2.0,31,sub
