name,points,value,pos,team_code,type
AaronWanBissaka,28.57534574209991,5.7,2,1,player
AndrewRobertson,29.13377201698372,7.1,2,14,player
AshleyWestwood,28.676878109091593,5.3,3,90,player
BrunoMiguelBorgesFernandes,30.839247148638385,11.6,3,1,player
EmilianoMartínez,29.32149663167488,5.4,1,7,player
HarryMaguire,29.31816681127201,5.5,2,1,player
LukeAyling,28.403547419166326,4.4,2,2,player
OllieWatkins,30.29171590733921,6.6,4,7,player
StuartDallas,29.562854761127443,5.2,2,2,player
TomasSoucek,29.542308206126513,5.3,3,21,player
YouriTielemans,29.019553547454873,6.4,3,13,player
KasperSchmeichel,28.795743425862288,5.4,1,13,sub
MohamedSalah,27.781497518281387,12.6,3,14,sub
PatrickBamford,28.335683479711054,6.5,4,2,sub
RobertoFirmino,24.922554386307354,9.0,4,14,sub
