name,points,value,pos,team_code,type,actual_points,total_points_gw,gameweek
BrunoMiguelBorgesFernandes,7.418094273504258,11.5,3.0,1,player,10,53,27
EmilianoMartínez,5.687896266375272,5.4,1.0,7,player,7,53,27
HarryKane,18.336173286859555,11.3,4.0,6,player,19,53,27
JoãoPedroCavacoCancelo,4.613035987490235,6.2,2.0,43,player,1,53,27
MattTargett,4.552300947205107,5.0,2.0,7,player,6,53,27
MohamedSalah,6.768151276760692,12.5,3.0,14,player,2,53,27
OllieWatkins,15.690439999804099,6.6,4.0,7,player,2,53,27
PatrickBamford,14.432583196421625,6.8,4.0,2,player,2,53,27
RaphaelDiasBelloli,5.26155370769935,5.5,3.0,2,player,2,53,27
RúbenSantosGatoAlvesDias,4.330184568279097,6.1,2.0,43,player,1,53,27
SadioMané,5.6582973897446,11.8,3.0,14,player,1,53,27
DaleStephens,-0.011649173085266806,4.2,3.0,90,sub,0,53,27
DavidButton,0.03279694255492216,3.9,1.0,35,sub,0,53,27
JimmyDunne,0.3220081982660248,3.8,2.0,90,sub,0,53,27
NathanFerguson,0.004453904237579384,3.8,2.0,31,sub,0,53,27
