name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
BrunoMiguelBorgesFernandes,7.499647743024992,11.4,3.0,1,player,3,21,74
EmilianoMartínez,5.63048890126046,5.1,1.0,7,player,10,21,74
HarryKane,18.513144402522347,11.1,4.0,6,player,0,21,74
JackGrealish,7.561900882092535,7.8,3.0,7,player,6,21,74
JoãoPedroCavacoCancelo,4.960306345683655,6.0,2.0,43,player,0,21,74
MohamedSalah,7.294369160805104,12.6,3.0,14,player,15,21,74
OllieWatkins,16.93039574128035,6.3,4.0,7,player,2,21,74
PatrickBamford,15.24775034093472,6.6,4.0,2,player,15,21,74
PedroLombaNeto,4.658610845833829,5.8,3.0,39,player,2,21,74
RúbenSantosGatoAlvesDias,5.140380927847849,6.0,2.0,43,player,8,21,74
StuartDallas,4.039558730957802,4.8,2.0,2,player,7,21,74
AdemolaLookman,4.528324797232004,5.0,3.0,54,sub,2,21,74
AlexMcCarthy,4.085509434692237,4.6,1.0,20,sub,3,21,74
KyleWalkerPeters,3.608510277667434,4.7,2.0,20,sub,0,21,74
LukeAyling,3.801344194738904,4.5,2.0,2,sub,1,21,74
