name,points,value,pos,team_code,type
BenjaminMendy,3.786311614059091,5.9,2,43,player
ChrisWood,6.405724080025983,6.3,4,90,player
GarethBale,5.154708350460506,9.1,3,6,player
HarryKane,6.28179257813565,11.8,4,6,player
JesseLingard,6.131071129923734,6.7,3,21,player
LewisDunk,3.968180576722112,4.9,2,36,player
MatheusPereira,4.678759732807876,5.5,3,35,player
OllieWatkins,5.227891024778343,6.6,4,7,player
RiyadMahrez,4.564772685936724,8.0,3,43,player
SamJohnstone,4.742041904842122,4.6,1,35,player
TrentAlexanderArnold,5.153555940149189,7.5,2,14,player
AndrewRobertson,3.692913842618375,7.1,2,14,sub
HeungMinSon,4.216454609912403,9.5,3,6,sub
RobertSánchez,4.144929045986684,4.6,1,36,sub
SeamusColeman,3.669731425486281,4.9,2,11,sub
