,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,90,GK,Manchester City,Southampton,5,2,2021-03-10,14761,2020,455771,0,0,0,0,0,0,0
1,0,0,0,90,GK,Leeds,Southampton,3,0,2021-02-23,14608,2020,451760,0,0,0,0,0,0,0
2,0,0,0,90,GK,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450490,0,0,0,0,0,0.34414616227149963,0.34414616227149963
3,0,0,0,90,GK,Southampton,Wolverhampton Wanderers,1,2,2021-02-14,14672,2020,449433,0,0,0,0,0,0.4057568609714508,0.4057568609714508
4,0,0,0,90,GK,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447676,0,0,0,0,0,0,0
5,0,0,0,90,GK,Manchester United,Southampton,9,0,2021-02-02,14651,2020,446753,0,0,0,0,0,0.016576746478676796,0.016576746478676796
6,0,0,0,90,GK,Southampton,Aston Villa,0,1,2021-01-30,14641,2020,445941,0,0,0,0,0,0,0
7,0,0,0,90,GK,Southampton,Arsenal,1,3,2021-01-26,14632,2020,445006,0,0,0,0,0,0.2918100953102112,0.2918100953102112
8,0,0,0,90,GK,Leicester,Southampton,2,0,2021-01-16,14619,2020,442490,0,0,0,0,0,0.0488295741379261,0.0488295741379261
9,0,0,0,90,GK,Southampton,West Ham,0,0,2020-12-29,14588,2020,438430,0,0,0,0,0,0,0
10,0,0,0,90,GK,Fulham,Southampton,0,0,2020-12-26,14577,2020,438087,0,0,0,0,0,0,0
11,0,0,0,90,GK,Southampton,Manchester City,0,1,2020-12-19,14572,2020,435974,0,0,0,0,0,0,0
12,0,0,0,90,GK,Arsenal,Southampton,1,1,2020-12-16,14555,2020,434833,0,0,0,0,0,0,0
13,0,0,0,90,GK,Southampton,Sheffield United,3,0,2020-12-13,14551,2020,433431,0,0,0,0,0,0,0
14,0,0,0,90,GK,Brighton,Southampton,1,2,2020-12-07,14536,2020,432475,0,0,0,0,0,0,0
15,0,0,0,90,GK,Southampton,Manchester United,2,3,2020-11-29,14534,2020,430365,0,0,0,0,0,0,0
16,0,0,0,90,GK,Wolverhampton Wanderers,Southampton,1,1,2020-11-23,14524,2020,429152,0,0,0,0,0,0.4887968599796295,0.4887968599796295
17,0,0,0,90,GK,Southampton,Newcastle United,2,0,2020-11-06,14512,2020,425980,0,0,0,0,0,0.07542925328016281,0.07542925328016281
18,0,0,0,90,GK,Aston Villa,Southampton,3,4,2020-11-01,14495,2020,424955,0,0,0,0,0,0,0
19,0,0,0,90,GK,Southampton,Everton,2,0,2020-10-25,14492,2020,423542,0,0,0,0,0,0.07309652119874954,0.07309652119874954
20,0,0,0,90,GK,Chelsea,Southampton,3,3,2020-10-17,14475,2020,421137,0,0,0,0,0,0.07812026888132095,0.07812026888132095
21,0,0,0,90,GK,Southampton,West Bromwich Albion,2,0,2020-10-04,14473,2020,419953,0,0,0,0,0,0.1712496131658554,0.1712496131658554
22,0,0,0,90,GK,Burnley,Southampton,0,1,2020-09-26,14109,2020,417684,0,0,0,0,0,0,0
23,0,0,0,90,GK,Southampton,Tottenham,2,5,2020-09-20,14100,2020,416199,0,0,0,0,0,0.12079967558383942,0.12079967558383942
24,0,0,0,90,GK,Crystal Palace,Southampton,1,0,2020-09-12,14087,2020,414572,0,0,0,0,0,0.41982200741767883,0.41982200741767883
25,0,0,0,90,GK,Southampton,Sheffield United,3,1,2020-07-26,12015,2019,411413,0,0,0,0,0,0.01932293362915516,0.01932293362915516
26,0,0,0,90,GK,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409769,0,0,0,0,0,0.027452627196907997,0.027452627196907997
27,0,0,0,90,GK,Southampton,Brighton,1,1,2020-07-16,12002,2019,409453,0,0,0,0,0,0.03597516566514969,0.03597516566514969
28,0,0,0,90,GK,Manchester United,Southampton,2,2,2020-07-13,11987,2019,408397,0,0,0,0,0,0.06989772617816925,0.06989772617816925
