,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,90,DR,Aston Villa,Tottenham,0,2,2021-03-21,14606,2020,458956,0,0,0,0,0,0,0
1,0,0,0,49,DR,West Ham,Tottenham,2,1,2021-02-21,14683,2020,451042,0,0,0,0,0,0.07467473298311234,0.07467473298311234
2,0,0,0,90,DR,Manchester City,Tottenham,3,0,2021-02-13,14671,2020,449181,0,0,0,0,0,0.05805462226271629,0.05805462226271629
3,0,2,0.03656630963087082,90,DMR,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387797,0.029117818921804428,0,1,0,0.03656630963087082,0.20422692596912384,0.1806260496377945
4,0,0,0,78,DC,Tottenham,Wolverhampton Wanderers,2,3,2020-03-01,11920,2019,387591,0,0,0,0,0,0.20185518264770508,0.20185518264770508
5,0,0,0,90,DR,Chelsea,Tottenham,2,1,2020-02-22,11906,2019,387139,0,0,0,0,0,0,0
6,0,0,0,90,DL,Tottenham,Manchester City,2,0,2020-02-02,11890,2019,386826,0,0,0,0,0,0.0581556037068367,0.0581556037068367
7,0,1,0.016901906579732895,90,DL,Watford,Tottenham,0,0,2020-01-18,11871,2019,386027,0,0,0,0,0.016901906579732895,0.05095770210027695,0.03405579552054405
8,0,0,0,90,DR,Tottenham,Liverpool,0,1,2020-01-11,11854,2019,385928,0,0,0,0,0,0.2337643951177597,0.2337643951177597
