,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.09593557566404343,90,FW,Crystal Palace,West Bromwich Albion,1,0,2021-03-13,14706,2020,456357,0.0668288841843605,0,2,0,0.09593557566404343,0.0668288841843605,0
1,0,4,0.5980896949768066,85,FW,West Bromwich Albion,Newcastle United,0,0,2021-03-07,14703,2020,454997,0,0,0,0,0.5980896949768066,0.5086362957954407,0.03133288770914078
2,0,3,0.5945284366607666,90,FW,West Bromwich Albion,Everton,0,1,2021-03-04,14723,2020,454202,0,0,0,0,0.5945284366607666,0.6436813473701477,0.04915286973118782
3,0,2,0.1691260039806366,87,FW,West Bromwich Albion,Brighton,1,0,2021-02-27,14692,2020,452266,0,0,0,0,0.1691260039806366,0.510836124420166,0.3417101204395294
4,0,1,0.8572116494178772,90,FW,Burnley,West Bromwich Albion,0,0,2021-02-20,14678,2020,450724,0.034229669719934464,0,3,0,0.8572116494178772,1.4672363996505737,0.5757951140403748
5,1,4,0.8147071003913879,90,FW,West Bromwich Albion,Manchester United,1,1,2021-02-14,14673,2020,449647,0,0,0,1,0.8147071003913879,0.8526960611343384,0.08090876787900925
6,0,2,0.5525689721107483,90,FW,Tottenham,West Bromwich Albion,2,0,2021-02-07,14663,2020,448067,0,0,0,0,0.5525689721107483,0.5525689721107483,0
7,0,1,0.6729402542114258,70,FW,Sheffield United,West Bromwich Albion,2,1,2021-02-02,14649,2020,446735,0,0,0,0,0.6729402542114258,0.7087894082069397,0.035849180072546005
8,0,0,0,43,Sub,West Bromwich Albion,Fulham,2,2,2021-01-30,14640,2020,445660,0.403230220079422,1,2,0,0,0.403230220079422,0
