element_in,element_in_cost,element_out,element_out_cost,entry,event,time
128,50,291,55,1621673,3,2020-09-20T15:05:36.844202Z
50,45,303,90,1621673,3,2020-09-20T15:02:43.384490Z
203,55,144,45,1621673,3,2020-09-20T15:02:43.381804Z
494,51,279,55,1621673,3,2020-09-20T15:02:43.379860Z
75,40,58,45,1621673,3,2020-09-20T15:02:43.377264Z
4,120,114,79,1621673,3,2020-09-20T15:02:43.374579Z
