event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,36,36,4287238,4315661,4287238,0,1000,0,0,0
2,42,78,5358379,5369145,5080856,0,1001,0,0,0
3,47,125,2358317,2375697,4663948,8,999,0,0,0
4,34,159,5471510,5481110,5005194,8,1002,0,0,0
5,25,184,7074951,7077137,5874881,8,1000,0,0,0
6,24,208,7077705,7082232,6207433,8,998,0,0,0
7,66,274,1088956,1099668,5877019,8,996,0,0,0
8,35,309,6744643,6751969,6073148,8,995,0,0,0
9,25,334,7310255,7313191,6366654,8,993,0,0,0
10,43,377,4026575,4046191,6292367,8,992,0,0,0
11,48,425,6262574,6271894,6346611,8,992,0,0,0
