element,position,multiplier,is_captain,is_vice_captain
128,1,1,False,False
259,2,1,False,False
494,3,1,False,False
353,4,1,False,False
75,5,1,False,False
272,6,1,False,False
254,7,2,True,False
4,8,1,False,True
203,9,1,False,False
224,10,1,False,False
262,11,1,False,False
99,12,0,False,False
319,13,0,False,False
379,14,0,False,False
50,15,0,False,False
