element,position,multiplier,is_captain,is_vice_captain
291,1,1,False,True
259,2,1,False,False
279,3,1,False,False
353,4,1,False,False
379,5,1,False,False
272,6,2,True,False
254,7,1,False,False
114,8,1,False,False
224,9,1,False,False
303,10,1,False,False
262,11,1,False,False
99,12,0,False,False
58,13,0,False,False
144,14,0,False,False
319,15,0,False,False
