name,points,value,pos,team_code,type
AaronWanBissaka,4.6386908379219784,5.7,2,1,player
AndreasChristensen,5.093255429393344,4.7,2,8,player
ChrisWood,6.07138009361425,6.3,4,90,player
JesseLingard,6.134565545846808,6.6,3,21,player
KelechiIheanacho,7.2494608924772175,6.1,4,13,player
LukeShaw,5.882674557499902,5.4,2,1,player
MasonGreenwood,4.6103800719928065,7.1,3,1,player
MasonMount,4.6037977110390695,7.2,3,8,player
OllieWatkins,4.722322261734829,6.6,4,7,player
SamJohnstone,5.0102621592990735,4.5,1,35,player
TrentAlexanderArnold,4.956771853867573,7.5,2,14,player
AntonioRüdiger,4.303266058637844,4.7,2,8,sub
JarrodBowen,4.136495858620206,6.0,3,21,sub
MatheusPereira,4.568802167294459,5.4,3,35,sub
RuiPedrodosSantosPatrício,4.035934034906997,5.3,1,39,sub
