name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AaronCresswell,4.4431480700717225,4.9,2.0,21,player,15,4,162
AndrewRobertson,4.319687390996588,7.0,2.0,14,player,-1,4,162
DominicCalvertLewin,6.16397461057278,7.6,4.0,11,player,6,4,162
HarryKane,7.066626716649593,10.6,4.0,6,player,16,4,162
HeungMinSon,6.802021027955173,9.0,3.0,6,player,18,4,162
JackGrealish,7.4950019902817875,7.0,3.0,7,player,24,4,162
JamesRodríguez,5.590486588432021,7.8,3.0,11,player,18,4,162
KarlDarlow,3.9161144744740533,5.0,1.0,4,player,2,4,162
MohamedSalah,9.115404494855477,12.2,3.0,14,player,13,4,162
OllieWatkins,5.673602241444132,5.9,4.0,7,player,19,4,162
TyroneMings,3.930162372335787,5.0,2.0,7,player,1,4,162
AlexMcCarthy,2.989203724513972,4.5,1.0,20,sub,9,4,162
ArthurMasuaku,3.0735071537201857,4.5,2.0,21,sub,6,4,162
KyleWalkerPeters,3.024520467975175,4.5,2.0,20,sub,5,4,162
OriolRomeuVidal,3.0642047246781563,4.5,3.0,20,sub,11,4,162
