name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AaronCresswell,3.8316370306517364,5.1,2.0,21,player,6,8,94
BenjaminChilwell,4.035857388041367,6.0,2.0,8,player,8,8,94
BrunoMiguelBorgesFernandes,5.989397663756857,10.6,3.0,1,player,17,8,94
HarryKane,7.196318955731357,11.0,4.0,6,player,9,8,94
HeungMinSon,6.565052697440209,9.5,3.0,6,player,3,8,94
JackGrealish,7.434513894520433,7.5,3.0,7,player,6,8,94
KarlDarlow,3.5893116532874543,5.0,1.0,4,player,2,8,94
OllieWatkins,5.810921263807079,6.1,4.0,7,player,13,8,94
PatrickBamford,4.638626442341514,6.1,4.0,2,player,7,8,94
TyroneMings,3.753497460769087,5.3,2.0,7,player,6,8,94
WilfriedZaha,4.621680026046389,7.4,3.0,31,player,5,8,94
AlexMcCarthy,3.344877884626897,4.5,1.0,20,sub,6,8,94
KurtZouma,3.3327467417530214,5.4,2.0,8,sub,2,8,94
PedroLombaNeto,4.354243671841858,5.5,3.0,39,sub,2,8,94
ReeceJames,3.2107022237855576,5.0,2.0,8,sub,2,8,94
