name,points,value,pos,team_code,type
AndreasChristensen,4.7624885004769375,4.7,2,8,player
ChrisWood,6.464071690497522,6.3,4,90,player
GarethBale,5.144285880342586,9.1,3,6,player
JesseLingard,6.124986909889361,6.7,3,21,player
KelechiIheanacho,7.724875649770647,6.2,4,13,player
LukeShaw,4.405420275074995,5.4,2,1,player
OllieWatkins,6.570372247330071,6.6,4,7,player
RiyadMahrez,4.595229336809937,8.0,3,43,player
SeamusColeman,4.68899701759064,4.9,2,11,player
StuartArmstrong,4.832831595261402,5.5,3,20,player
VicenteGuaita,4.656167603668479,4.8,1,31,player
LewisDunk,4.084892023066464,4.9,2,36,sub
MasonMount,4.551410980690953,7.3,3,8,sub
ReeceJames,4.262391395646318,5.0,2,8,sub
SamJohnstone,4.48068578559659,4.6,1,35,sub
