name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AdemolaLookman,4.521328585096152,5.0,3.0,54,player,2,14,70
BenjaminChilwell,4.67711068767012,6.1,2.0,8,player,1,14,70
BrunoMiguelBorgesFernandes,7.929632177551537,11.0,3.0,1,player,17,14,70
DominicCalvertLewin,18.662504552612614,7.9,4.0,11,player,4,14,70
EmilianoMartínez,5.515431123836639,4.9,1.0,7,player,6,14,70
HarryKane,20.428019959962327,11.0,4.0,6,player,2,14,70
JackGrealish,8.507002974096475,7.8,3.0,7,player,10,14,70
JamieVardy,19.39476307033982,10.2,4.0,13,player,12,14,70
KurtZouma,4.518700508843423,5.8,2.0,8,player,6,14,70
PedroLombaNeto,4.57339156861264,5.9,3.0,39,player,2,14,70
TyroneMings,5.20520875279926,5.3,2.0,7,player,5,14,70
IllanMeslier,4.341367045149913,4.6,1.0,2,sub,1,14,70
JackHarrison,4.211169146508632,5.4,3.0,2,sub,2,14,70
LukeAyling,3.8606315029748033,4.5,2.0,2,sub,-1,14,70
VladimirCoufal,3.841444784117909,4.6,2.0,21,sub,1,14,70
