name,points,value,pos,team_code,type
AaronWanBissaka,4.4122680897549715,5.7,2,1,player
BenMee,4.213153553163329,5.0,2,90,player
BrunoMiguelBorgesFernandes,5.963542168367146,11.5,3,1,player
CallumWilson,4.3919091020319305,6.8,4,4,player
DominicCalvertLewin,4.5510955681349285,7.7,4,11,player
EmilianoMartínez,5.481107577055031,5.4,1,7,player
HarryKane,6.66242983115279,11.4,4,6,player
HeungMinSon,5.415767788718584,9.6,3,6,player
MatthewCash,4.265461798456362,5.0,2,7,player
MattTargett,4.467967970840416,5.0,2,7,player
MohamedSalah,6.524422628501874,12.5,3,14,player
EdouardMendy,5.110725637996335,5.1,1,8,sub
RobHolding,3.6456969483197184,4.5,2,3,sub
RúbenDiogodaSilvaNeves,3.711970341319281,5.1,3,39,sub
YvesBissouma,2.3668225400853644,4.4,3,36,sub
