name,points,value,pos,team_code,type,actual_points,total_points_gw,gameweek
BrunoMiguelBorgesFernandes,7.7172241818612575,11.5,3.0,1,player,9,55,24
EmilianoMartínez,5.849184415335503,5.3,1.0,7,player,12,55,24
HarryKane,17.682982037057073,11.0,4.0,6,player,2,55,24
JackGrealish,7.098105227196307,7.8,3.0,7,player,2,55,24
JoãoPedroCavacoCancelo,4.983807633971684,6.1,2.0,43,player,6,55,24
MasonMount,5.1867844206722085,6.8,3.0,8,player,3,55,24
MohamedSalah,7.101689516819446,12.6,3.0,14,player,7,55,24
OllieWatkins,16.285683727491268,6.5,4.0,7,player,2,55,24
PatrickBamford,15.223792183831927,6.9,4.0,2,player,2,55,24
RúbenSantosGatoAlvesDias,4.6195863810273865,6.1,2.0,43,player,0,55,24
StuartDallas,4.101803352411247,4.9,2.0,2,player,-1,55,24
AdemolaLookman,4.338389517102287,5.0,3.0,54,sub,3,55,24
BerndLeno,3.8057451981450017,5.0,1.0,3,sub,2,55,24
LukeAyling,3.8890905892278864,4.4,2.0,2,sub,0,55,24
VladimirCoufal,3.7837611362528847,4.7,2.0,21,sub,6,55,24
