name,points,value,pos,team_code,type
BrunoMiguelBorgesFernandes,10.502144290063663,11.6,3,1,player
HarryKane,9.983513471022071,11.7,4,6,player
KelechiIheanacho,9.015217495085443,6.0,4,13,player
LukeShaw,8.236986598199334,5.3,2,1,player
MarcusRashford,9.584558622957305,9.5,3,1,player
MasonMount,9.38816976812372,7.2,3,8,player
MatheusPereira,9.276214777768699,5.4,3,35,player
NélsonCabralSemedo,6.4508367769888615,5.2,2,39,player
RicharlisondeAndrade,8.797265198475069,7.9,4,11,player
SamJohnstone,5.820821895054901,4.5,1,35,player
TrentAlexanderArnold,8.77381585743386,7.4,2,14,player
AdamaTraoré,8.78399260653492,6.0,3,39,sub
KyleBartley,6.080212328304569,4.4,2,35,sub
ReeceJames,5.93205444929896,5.0,2,8,sub
RuiPedrodosSantosPatrício,5.474631977525238,5.3,1,39,sub
