name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AdemolaLookman,4.392111733115833,5.0,3.0,54,player,4,12,81
BenjaminChilwell,5.063113598725566,6.2,2.0,8,player,2,12,81
BrunoMiguelBorgesFernandes,8.11352754901988,11.0,3.0,1,player,3,12,81
DominicCalvertLewin,19.85946299975955,7.9,4.0,11,player,5,12,81
EmilianoMartínez,5.2603924495474494,4.8,1.0,7,player,11,12,81
HarryKane,22.451565852278687,10.9,4.0,6,player,9,12,81
JackGrealish,8.294634817761912,7.8,3.0,7,player,2,12,81
JamieVardy,18.657152310235524,10.3,4.0,13,player,13,12,81
JarrodBowen,4.8736597024226205,6.4,3.0,21,player,5,12,81
KurtZouma,4.602453637677577,5.7,2.0,8,player,2,12,81
TyroneMings,4.854040834515802,5.3,2.0,7,player,8,12,81
AlexMcCarthy,4.629336357860175,4.6,1.0,20,sub,6,12,81
LukeAyling,4.018633668257246,4.5,2.0,2,sub,1,12,81
StuartDallas,3.906926685626509,4.6,2.0,2,sub,1,12,81
TomasSoucek,3.830165384042578,5.0,3.0,21,sub,9,12,81
