name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
CallumWilson,10.463727670718171,6.5,4.0,4,player,8,1,174
DominicCalvertLewin,10.086247912688806,7.0,4.0,11,player,8,1,174
GabrielMagalhães,12.443937882264915,5.0,2.0,3,player,15,1,174
JamieVardy,13.379982269663206,10.0,4.0,13,player,13,1,174
JeffHendrick,12.565522034710085,5.0,3.0,4,player,14,1,174
LucasDigne,11.93103834056966,6.0,2.0,11,player,12,1,174
MohamedSalah,16.02623543568685,12.0,3.0,14,player,20,1,174
ReeceJames,10.873956926829974,5.0,2.0,8,player,14,1,174
TimothyCastagne,10.116848688183683,5.5,2.0,13,player,14,1,174
VicenteGuaita,12.149726349739804,5.0,1.0,31,player,10,1,174
WillianBorgesDaSilva,10.740529807315221,8.1,3.0,3,player,14,1,174
AndrosTownsend,9.30254446362966,6.0,3.0,31,sub,8,1,174
JamalLewis,7.063885798982309,4.5,2.0,4,sub,7,1,174
JordanPickford,7.426298894761747,5.0,1.0,11,sub,8,1,174
MateuszKlich,7.63393469239957,5.5,3.0,2,sub,9,1,174
