name,points,value,pos,team_code,type,actual_points,total_points_gw,gameweek
BrunoMiguelBorgesFernandes,7.758783198152551,11.6,3.0,1,player,12,40,25
EmilianoMartínez,5.674157527716536,5.3,1.0,7,player,2,40,25
HarryKane,17.544752751128385,11.1,4.0,6,player,2,40,25
JoãoPedroCavacoCancelo,5.07394099962443,6.1,2.0,43,player,5,40,25
MattTargett,4.5596894671527055,4.9,2.0,7,player,1,40,25
MohamedSalah,7.037326073430531,12.6,3.0,14,player,2,40,25
OllieWatkins,16.062841159405238,6.5,4.0,7,player,2,40,25
PatrickBamford,14.966502128654561,6.9,4.0,2,player,2,40,25
RaphaelDiasBelloli,5.223729352540102,5.4,3.0,2,player,4,40,25
RúbenSantosGatoAlvesDias,4.699307169702182,6.1,2.0,43,player,7,40,25
SadioMané,6.014437939459054,11.8,3.0,14,player,1,40,25
DaleStephens,0.0011217252643270117,4.2,3.0,90,sub,0,40,25
FabricioAgostoRamírez,-0.0215379376348791,3.9,1.0,54,sub,0,40,25
JimmyDunne,0.3502313794367617,3.8,2.0,90,sub,0,40,25
NathanFerguson,0.004453904237579384,3.8,2.0,31,sub,0,40,25
