name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
BenjaminChilwell,8.272092986575249,6.2,2.0,8,player,8,10,70
BrunoMiguelBorgesFernandes,12.99281045800555,10.9,3.0,1,player,10,10,70
DominicCalvertLewin,10.380895900116952,7.9,4.0,11,player,2,10,70
HarryKane,14.250171962785576,10.9,4.0,6,player,2,10,70
HeungMinSon,12.834560435396492,9.5,3.0,6,player,3,10,70
IllanMeslier,5.458081678158504,4.5,1.0,2,player,11,10,70
LukeAyling,6.173922389649624,4.5,2.0,2,player,5,10,70
MohamedSalah,13.57997799562643,12.2,3.0,14,player,6,10,70
PatrickBamford,10.316270016210156,6.1,4.0,2,player,2,10,70
PedroLombaNeto,7.927235412127803,5.6,3.0,39,player,13,10,70
ReeceJames,7.274919333693668,5.1,2.0,8,player,6,10,70
BaileyPeacockFarrell,0.35989078129769114,4.0,1.0,90,sub,0,10,70
JimmyDunne,1.2204708625900005,4.0,2.0,90,sub,0,10,70
OriolRomeuVidal,4.860761737420966,4.5,3.0,20,sub,2,10,70
TyrickMitchell,1.530273237382877,4.1,2.0,31,sub,0,10,70
