name,points,value,pos,team_code,type,actual_points,gameweek,total_points_gw
AndrewRobertson,4.816555259976617,7.4,2.0,14,player,2,20,48
BrunoMiguelBorgesFernandes,7.7237019096767074,11.4,3.0,1,player,2,20,48
DominicCalvertLewin,15.721892246585176,7.6,4.0,11,player,2,20,48
EmilianoMartínez,5.45960052083668,5.1,1.0,7,player,1,20,48
HarryKane,19.297775539018254,11.3,4.0,6,player,1,20,48
JackGrealish,7.7880163096966575,7.7,3.0,7,player,8,20,48
JoãoPedroCavacoCancelo,5.2055912387149,5.9,2.0,43,player,17,20,48
MasonMount,5.084419610220754,6.8,3.0,8,player,1,20,48
MohamedSalah,7.060902749861947,12.5,3.0,14,player,2,20,48
OllieWatkins,17.00477652924828,6.2,4.0,7,player,6,20,48
RúbenSantosGatoAlvesDias,5.035496852382603,5.9,2.0,43,player,6,20,48
BarryDouglas,-0.005393437708901011,3.8,2.0,2,sub,0,20,48
ChristianWalton,-0.018196688704993025,4.0,1.0,36,sub,0,20,48
DaleStephens,0.06265808928893035,4.3,3.0,90,sub,0,20,48
JimmyDunne,0.4334154923610392,3.8,2.0,90,sub,0,20,48
